# mass [eV], kinetic mixing
5.5580313646872e-12, 0.00010580913421087568
6.495926218926563e-12, 0.00008932102095169533
8.080704210008653e-12, 0.00007126249694963025
1.1387631591820583e-11, 0.00005078343471496049
1.5077508122552356e-11, 0.00003829184277354541
1.9962996638292975e-11, 0.00002887290375737365
2.561992641881217e-11, 0.00002303550937969612
3.392142128625703e-11, 0.000017369288003593846
4.4912807447987806e-11, 0.000013096830670378209
6.950026427218182e-11, 0.000008336445713825614
1.0754809169960984e-10, 0.000005306346923820658
1.7169710782230862e-10, 0.0000033776166297398652
2.4196200707851985e-10, 0.00000240697394773857
3.203637295129794e-10, 0.0000018149120571333327
4.241695645802743e-10, 0.0000013684841824826048
5.616110781009313e-10, 0.0000010318676050139357
7.435870684352241e-10, 7.78051195553901e-7
9.249962133044992e-10, 6.207482892498628e-7
1.224718046678489e-9, 4.680580592336473e-7
1.7259186275070725e-9, 3.3354986018387575e-7
2.2851592901717656e-9, 2.515040362076258e-7
3.025607869474687e-9, 1.8963965445482912e-7
4.005980247941065e-9, 1.4299253039445507e-7
4.983298818947793e-9, 1.1408294097495238e-7
7.474620795091698e-9, 7.683490932861998e-8
1.0533516100940681e-8, 5.4754474916558875e-8
1.4844226147450387e-8, 3.901940601719874e-8
2.4449042248699315e-8, 2.3473195025242416e-8
3.237114145474874e-8, 1.7699312745275195e-8
4.286019830241416e-8, 1.3345676688588145e-8
5.33165822996918e-8, 1.0647507542771935e-8
6.6323956974312e-8, 8.494842151415759e-9
9.346620889795143e-8, 6.053636629028546e-9
1.317160887903449e-7, 4.313972618103158e-9
1.85619254817195e-7, 3.0742446053836406e-9
2.6158161903617327e-7, 2.1907834681356847e-9
3.463405848641224e-7, 1.6518996122178588e-9
4.880761482202654e-7, 1.177184910767703e-9
6.878152225647729e-7, 8.388913611273401e-10
0.000001, 5.649936889594499e-10
0.0000014538788430287032, 3.8052349011560716e-10
0.0000019859503986072485, 2.711705405362605e-10
0.0000029787951087758964, 1.7260652956918793e-10
0.00000394399898572829, 1.2300372286910492e-10
0.0000047555516503312725, 9.274755130489371e-11
0.0000053873721289574, 7.829480918738456e-11
0.0000055580313646871765, 4.260178467075454e-10
0.000005734096682277013, 1.3179259464626196e-9
0.000006103135995556962, 4.564577077309193e-9
0.000006296468941495154, 8.028458237344332e-9
0.000006701701832220502, 1.981539458090945e-8
0.00000713301500655427, 5.174834415281602e-8
0.000007592086959032937, 1.2071017212790157e-7
0.00000808070421000862, 3.152373022154376e-7
0.000008600768258055989, 8.232492337329489e-7
0.000009154302979827119, 0.0000019203427343415706
0.000009743462506152063, 0.000005015017808618688
0.000010370539605035478, 0.000011698222867096555
0.000011037974604172088, 0.00002887290375737365
0.000012120525363130596, 0.00011195572882455089
